,"NSW","Vic.","Qld","SA","WA","Tas.","NT","ACT"
"Overseas arrivals","58,229","19,904","17,073","4,470","10,143","1,319","1,365","2,415"
"Overseas departures","71,715","73,388","33,072","7,868","15,819","1,657","1,740","5,018"
"Net overseas migration","-13,486","-53,484","-15,999","-3,398","-5,676","-338","-375","-2,603"

"Source: Australian Bureau of Statistics, National, state and territory population March 2021"
