,"NSW","Vic.","Qld","SA","WA","Tas.","NT","ACT"
"Overseas arrivals","195,509","161,682","81,573","28,994","45,977","5,808","5,494","11,701"
"Overseas departures","85,676","65,020","38,768","9,432","22,666","2,484","3,676","5,435"
"Net overseas migration","109,833","96,662","42,805","19,562","23,311","3,324","1,818","6,266"

"Source: Australian Bureau of Statistics, National, state and territory population September 2022"
