,"NSW","Vic.","Qld","SA","WA","Tas.","NT","ACT"
"Overseas arrivals","93,212","58,863","29,641","8,962","15,221","3,511","3,047","4,633"
"Overseas departures","80,604","68,429","34,479","8,667","18,799","1,871","2,306","5,554"
"Net overseas migration","12,608","-9,566","-4,838","295","-3,578","1,640","741","-921"

"Source: Australian Bureau of Statistics, National, state and territory population December 2021"
