,"NSW","Vic.","Qld","SA","WA","Tas.","NT","ACT"
"Overseas arrivals","127,874","104,380","61,150","20,064","37,202","5,186","2,940","6,865"
"Overseas departures","99,773","87,413","48,661","11,128","21,819","2,568","2,923","6,299"
"Net overseas migration","28,101","16,967","12,489","8,936","15,383","2,618","17","566"

"Source: Australian Bureau of Statistics, National, state and territory population September 2020"
