,"NSW","Vic.","Qld","SA","WA","Tas.","NT","ACT"
"Overseas arrivals","145,818","120,481","58,581","20,936","30,560","5,153","4,908","8,447"
"Overseas departures","83,605","64,850","35,151","8,859","21,058","2,408","2,774","5,330"
"Net overseas migration","62,213","55,631","23,430","12,077","9,502","2,745","2,134","3,117"

"Source: Australian Bureau of Statistics, National, state and territory population June 2022"
