,"NSW","Vic.","Qld","SA","WA","Tas.","NT","ACT"
"Overseas arrivals","73,844","25,581","22,213","5,754","12,599","1,557","1,518","2,709"
"Overseas departures","79,315","81,669","36,579","9,032","18,240","2,001","1,901","5,825"
"Net overseas migration","-5,471","-56,088","-14,366","-3,278","-5,641","-444","-383","-3,116"

"Source: Australian Bureau of Statistics, National, state and territory population June 2021"
