,"NSW","Vic.","Qld","SA","WA","Tas.","NT","ACT"
"Overseas arrivals","95,475","61,489","38,895","13,230","24,493","2,806","2,218","4,848"
"Overseas departures","83,962","80,439","38,919","8,816","18,773","2,077","2,142","5,100"
"Net overseas migration","11,513","-18,950","-24","4,414","5,720","729","76","-252"

"Source: Australian Bureau of Statistics, National, state and territory population December 2020"
