,"NSW","Vic.","Qld","SA","WA","Tas.","NT","ACT"
"Overseas arrivals","165,058","145,619","82,721","26,332","47,799","6,267","3,867","9,049"
"Overseas departures","110,135","86,070","55,845","12,451","24,455","2,800","3,858","6,947"
"Net overseas migration","54,923","59,549","26,876","13,881","23,344","3,467","9","2,102"

"Source: Australian Bureau of Statistics, National, state and territory population June 2020"
