,"NSW","Vic.","Qld","SA","WA","Tas.","NT","ACT"
"Overseas arrivals","185,125","164,027","90,006","26,792","47,928","5,692","4,936","8,974"
"Overseas departures","114,580","88,470","62,862","12,718","29,066","3,057","4,401","7,683"
"Net overseas migration","70,545","75,557","27,144","14,074","18,862","2,635","535","1,291"

"Source: Australian Bureau of Statistics, National, state and territory population December 2019"
