,locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
26,7400,Kensington,pm10,2.0,"{'utc': '2019-12-24T18:00:00+00:00', 'local': '2019-12-25T04:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
27,7400,Kensington,pm10,3.0,"{'utc': '2019-12-24T19:00:00+00:00', 'local': '2019-12-25T05:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
28,7400,Kensington,pm10,4.0,"{'utc': '2019-12-24T20:00:00+00:00', 'local': '2019-12-25T06:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
29,7400,Kensington,pm10,5.0,"{'utc': '2019-12-24T21:00:00+00:00', 'local': '2019-12-25T07:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
30,7400,Kensington,pm10,19.0,"{'utc': '2019-12-24T22:00:00+00:00', 'local': '2019-12-25T08:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
31,7400,Kensington,pm10,6.0,"{'utc': '2019-12-24T23:00:00+00:00', 'local': '2019-12-25T09:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
32,7400,Kensington,pm10,8.0,"{'utc': '2019-12-25T00:00:00+00:00', 'local': '2019-12-25T10:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
33,7400,Kensington,pm10,9.0,"{'utc': '2019-12-25T01:00:00+00:00', 'local': '2019-12-25T11:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
34,7400,Kensington,pm10,12.0,"{'utc': '2019-12-25T02:00:00+00:00', 'local': '2019-12-25T12:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
35,7400,Kensington,pm10,18.0,"{'utc': '2019-12-25T03:00:00+00:00', 'local': '2019-12-25T13:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
36,7400,Kensington,pm10,14.0,"{'utc': '2019-12-25T04:00:00+00:00', 'local': '2019-12-25T14:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
37,7400,Kensington,pm10,11.0,"{'utc': '2019-12-25T05:00:00+00:00', 'local': '2019-12-25T15:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
38,7400,Kensington,pm10,14.0,"{'utc': '2019-12-25T06:00:00+00:00', 'local': '2019-12-25T16:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
39,7400,Kensington,pm10,18.0,"{'utc': '2019-12-25T07:00:00+00:00', 'local': '2019-12-25T17:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
40,7400,Kensington,pm10,20.0,"{'utc': '2019-12-25T08:00:00+00:00', 'local': '2019-12-25T18:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
41,7400,Kensington,pm10,11.0,"{'utc': '2019-12-25T09:00:00+00:00', 'local': '2019-12-25T19:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
42,7400,Kensington,pm10,13.0,"{'utc': '2019-12-25T10:00:00+00:00', 'local': '2019-12-25T20:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
43,7400,Kensington,pm10,14.0,"{'utc': '2019-12-25T11:00:00+00:00', 'local': '2019-12-25T21:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
44,7400,Kensington,pm10,15.0,"{'utc': '2019-12-25T12:00:00+00:00', 'local': '2019-12-25T22:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
45,7400,Kensington,pm10,16.0,"{'utc': '2019-12-25T13:00:00+00:00', 'local': '2019-12-25T23:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
46,7400,Kensington,pm10,17.0,"{'utc': '2019-12-25T14:00:00+00:00', 'local': '2019-12-26T00:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
47,7400,Kensington,pm10,22.0,"{'utc': '2019-12-25T15:00:00+00:00', 'local': '2019-12-26T01:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
48,7400,Kensington,pm10,16.0,"{'utc': '2019-12-25T16:00:00+00:00', 'local': '2019-12-26T02:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
49,7400,Kensington,pm10,10.0,"{'utc': '2019-12-25T17:00:00+00:00', 'local': '2019-12-26T03:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
50,7400,Kensington,pm10,10.0,"{'utc': '2019-12-25T18:00:00+00:00', 'local': '2019-12-26T04:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
51,7400,Kensington,pm10,10.0,"{'utc': '2019-12-25T19:00:00+00:00', 'local': '2019-12-26T05:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
52,7400,Kensington,pm10,12.0,"{'utc': '2019-12-25T20:00:00+00:00', 'local': '2019-12-26T06:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
53,7400,Kensington,pm10,16.0,"{'utc': '2019-12-25T21:00:00+00:00', 'local': '2019-12-26T07:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
54,7400,Kensington,pm10,14.0,"{'utc': '2019-12-25T22:00:00+00:00', 'local': '2019-12-26T08:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
55,7400,Kensington,pm10,13.0,"{'utc': '2019-12-25T23:00:00+00:00', 'local': '2019-12-26T09:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
56,7400,Kensington,pm10,15.0,"{'utc': '2019-12-26T00:00:00+00:00', 'local': '2019-12-26T10:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
57,7400,Kensington,pm10,12.0,"{'utc': '2019-12-26T01:00:00+00:00', 'local': '2019-12-26T11:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
58,7400,Kensington,pm10,15.0,"{'utc': '2019-12-26T02:00:00+00:00', 'local': '2019-12-26T12:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
59,7400,Kensington,pm10,16.0,"{'utc': '2019-12-26T03:00:00+00:00', 'local': '2019-12-26T13:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
60,7400,Kensington,pm10,19.0,"{'utc': '2019-12-26T04:00:00+00:00', 'local': '2019-12-26T14:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
61,7400,Kensington,pm10,20.0,"{'utc': '2019-12-26T05:00:00+00:00', 'local': '2019-12-26T15:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
62,7400,Kensington,pm10,25.0,"{'utc': '2019-12-26T06:00:00+00:00', 'local': '2019-12-26T16:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
63,7400,Kensington,pm10,30.0,"{'utc': '2019-12-26T07:00:00+00:00', 'local': '2019-12-26T17:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
64,7400,Kensington,pm10,19.0,"{'utc': '2019-12-26T08:00:00+00:00', 'local': '2019-12-26T18:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
65,7400,Kensington,pm10,20.0,"{'utc': '2019-12-26T09:00:00+00:00', 'local': '2019-12-26T19:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
66,7400,Kensington,pm10,29.0,"{'utc': '2019-12-26T10:00:00+00:00', 'local': '2019-12-26T20:30:00+10:30'}",µg/m³,"{'latitude': -34.9214075, 'longitude': 138.6650977}",AU,,False,,Governmental Organization,reference grade
